height,timestamp,difficulty,delta_t
207984,1352948397,3368767.140532939,
207985,1352948846,3368767.140532939,449.0
207986,1352949144,3368767.1405329388,298.0
207987,1352949192,3368767.140532939,48.0
207988,1352949410,3368767.140532939,218.0
207989,1352951847,3368767.140532939,2437.0
207990,1352952704,3368767.140532939,857.0
207991,1352953044,3368767.140532939,340.0
207992,1352953652,3368767.1405329388,608.0
207993,1352954172,3368767.140532939,520.0
207994,1352954751,3368767.140532939,579.0
207995,1352954692,3368767.140532939,0.0
207996,1352954723,3368767.140532939,31.0
207997,1352955102,3368767.1405329388,379.0
207998,1352955316,3368767.1405329388,214.0
207999,1352956623,3368767.140532939,1307.0
208000,1352956652,3368767.1405329388,29.0
208001,1352957740,3368767.1405329388,1088.0
208002,1352957854,3368767.140532939,114.0
208003,1352960258,3368767.140532939,2404.0
208004,1352961159,3368767.1405329388,901.0
208005,1352962536,3368767.1405329388,1377.0
208006,1352964257,3368767.140532939,1721.0
208007,1352964737,3368767.1405329388,480.0
208008,1352965080,3368767.1405329388,343.0
208009,1352965406,3368767.1405329388,326.0
208010,1352965507,3368767.140532939,101.0
208011,1352965948,3368767.140532939,441.0
208012,1352966015,3368767.140532939,67.0
208013,1352966251,3368767.140532939,236.0
208014,1352967294,3368767.1405329388,1043.0
208015,1352968837,3368767.140532939,1543.0
208016,1352968904,3368767.1405329388,67.0
208017,1352970912,3368767.1405329388,2008.0
208018,1352971596,3368767.140532939,684.0
208019,1352972088,3368767.140532939,492.0
208020,1352973023,3368767.1405329388,935.0
208021,1352973204,3368767.1405329388,181.0
208022,1352974438,3368767.140532939,1234.0
208023,1352974727,3368767.1405329388,289.0
208024,1352974828,3368767.1405329388,101.0
208025,1352974949,3368767.1405329388,121.0
208026,1352975017,3368767.140532939,68.0
208027,1352976181,3368767.1405329388,1164.0
208028,1352976277,3368767.1405329388,96.0
208029,1352976983,3368767.1405329388,706.0
208030,1352977531,3368767.1405329388,548.0
208031,1352977621,3368767.1405329388,90.0
208032,1352977643,3368767.1405329388,22.0
208033,1352977862,3368767.1405329388,219.0
208034,1352978920,3368767.140532939,1058.0
208035,1352979030,3368767.140532939,110.0
208036,1352981791,3368767.1405329388,2761.0
208037,1352982204,3368767.1405329388,413.0
208038,1352982001,3368767.1405329388,0.0
208039,1352982544,3368767.1405329388,543.0
208040,1352982970,3368767.1405329388,426.0
208041,1352982955,3368767.140532939,0.0
208042,1352983080,3368767.140532939,125.0
208043,1352985667,3368767.1405329388,2587.0
208044,1352985432,3368767.1405329388,0.0
208045,1352986292,3368767.1405329388,860.0
208046,1352986702,3368767.1405329388,410.0
208047,1352986968,3368767.1405329388,266.0
208048,1352987286,3368767.140532939,318.0
208049,1352987341,3368767.140532939,55.0
208050,1352988718,3368767.1405329388,1377.0
208051,1352991593,3368767.1405329388,2875.0
208052,1352991632,3368767.1405329388,39.0
208053,1352992471,3368767.1405329388,839.0
208054,1352993466,3368767.140532939,995.0
208055,1352993497,3368767.140532939,31.0
208056,1352994275,3368767.140532939,778.0
208057,1352995183,3368767.140532939,908.0
208058,1352995996,3368767.1405329388,813.0
208059,1352996862,3368767.140532939,866.0
208060,1352997013,3368767.1405329388,151.0
208061,1352997368,3368767.1405329388,355.0
208062,1352997379,3368767.140532939,11.0
208063,1352998520,3368767.1405329388,1141.0
208064,1352999195,3368767.140532939,675.0
208065,1352999679,3368767.140532939,484.0
208066,1353001108,3368767.140532939,1429.0
208067,1353001151,3368767.1405329388,43.0
208068,1353001885,3368767.1405329388,734.0
208069,1353003818,3368767.140532939,1933.0
208070,1353005038,3368767.1405329388,1220.0
208071,1353005220,3368767.140532939,182.0
208072,1353005580,3368767.140532939,360.0
208073,1353006589,3368767.1405329388,1009.0
208074,1353009465,3368767.1405329388,2876.0
208075,1353010349,3368767.1405329388,884.0
208076,1353011992,3368767.1405329388,1643.0
208077,1353012027,3368767.140532939,35.0
