height,timestamp,difficulty,delta_t
627984,1588072333,15958652328578.42,
627985,1588072910,15958652328578.42,577.0
627986,1588073074,15958652328578.42,164.0
627987,1588073082,15958652328578.42,8.0
627988,1588073198,15958652328578.42,116.0
627989,1588074544,15958652328578.42,1346.0
627990,1588074786,15958652328578.42,242.0
627991,1588074993,15958652328578.42,207.0
627992,1588075386,15958652328578.42,393.0
627993,1588077079,15958652328578.42,1693.0
627994,1588077084,15958652328578.42,5.0
627995,1588077280,15958652328578.42,196.0
627996,1588078066,15958652328578.42,786.0
627997,1588078790,15958652328578.42,724.0
627998,1588079041,15958652328578.42,251.0
627999,1588079153,15958652328578.42,112.0
628000,1588079174,15958652328578.42,21.0
628001,1588079483,15958652328578.42,309.0
628002,1588081625,15958652328578.42,2142.0
628003,1588081812,15958652328578.42,187.0
628004,1588081988,15958652328578.42,176.0
628005,1588082586,15958652328578.42,598.0
628006,1588082814,15958652328578.42,228.0
628007,1588083535,15958652328578.42,721.0
628008,1588083559,15958652328578.42,24.0
628009,1588083674,15958652328578.42,115.0
628010,1588084831,15958652328578.42,1157.0
628011,1588086111,15958652328578.42,1280.0
628012,1588086458,15958652328578.42,347.0
628013,1588086825,15958652328578.42,367.0
628014,1588087058,15958652328578.42,233.0
628015,1588087761,15958652328578.42,703.0
628016,1588088066,15958652328578.42,305.0
628017,1588088071,15958652328578.42,5.0
628018,1588088310,15958652328578.42,239.0
628019,1588088486,15958652328578.42,176.0
628020,1588088551,15958652328578.42,65.0
628021,1588088779,15958652328578.42,228.0
628022,1588088954,15958652328578.42,175.0
628023,1588088974,15958652328578.42,20.0
628024,1588089166,15958652328578.42,192.0
628025,1588089366,15958652328578.42,200.0
628026,1588089572,15958652328578.42,206.0
628027,1588090655,15958652328578.42,1083.0
628028,1588092016,15958652328578.42,1361.0
628029,1588092332,15958652328578.42,316.0
628030,1588092696,15958652328578.42,364.0
628031,1588093762,15958652328578.42,1066.0
628032,1588093919,15958652328578.42,157.0
628033,1588094246,15958652328578.42,327.0
628034,1588094316,15958652328578.42,70.0
628035,1588094538,15958652328578.42,222.0
628036,1588094801,15958652328578.42,263.0
628037,1588096026,15958652328578.42,1225.0
628038,1588097439,15958652328578.42,1413.0
628039,1588097702,15958652328578.42,263.0
628040,1588097822,15958652328578.42,120.0
628041,1588098495,15958652328578.42,673.0
628042,1588098856,15958652328578.42,361.0
628043,1588099649,15958652328578.42,793.0
628044,1588100170,15958652328578.42,521.0
628045,1588102101,15958652328578.42,1931.0
628046,1588102105,15958652328578.42,4.0
628047,1588102182,15958652328578.42,77.0
628048,1588102655,15958652328578.42,473.0
628049,1588102704,15958652328578.42,49.0
628050,1588103750,15958652328578.42,1046.0
628051,1588104194,15958652328578.42,444.0
628052,1588104257,15958652328578.42,63.0
628053,1588105010,15958652328578.42,753.0
628054,1588105683,15958652328578.42,673.0
628055,1588105802,15958652328578.42,119.0
628056,1588106078,15958652328578.42,276.0
628057,1588106419,15958652328578.42,341.0
628058,1588107835,15958652328578.42,1416.0
628059,1588110050,15958652328578.42,2215.0
628060,1588110100,15958652328578.42,50.0
628061,1588110453,15958652328578.42,353.0
628062,1588111663,15958652328578.42,1210.0
628063,1588111708,15958652328578.42,45.0
628064,1588111764,15958652328578.42,56.0
628065,1588113607,15958652328578.42,1843.0
628066,1588114552,15958652328578.42,945.0
628067,1588116130,15958652328578.42,1578.0
628068,1588117286,15958652328578.42,1156.0
628069,1588118321,15958652328578.42,1035.0
628070,1588120297,15958652328578.42,1976.0
628071,1588121515,15958652328578.42,1218.0
628072,1588121793,15958652328578.42,278.0
628073,1588121868,15958652328578.42,75.0
628074,1588122021,15958652328578.42,153.0
628075,1588122143,15958652328578.42,122.0
628076,1588122323,15958652328578.42,180.0
628077,1588122423,15958652328578.42,100.0
628078,1588122510,15958652328578.42,87.0
628079,1588122974,15958652328578.42,464.0
628080,1588123400,15958652328578.42,426.0
628081,1588124310,15958652328578.42,910.0
628082,1588124758,15958652328578.42,448.0
628083,1588125252,15958652328578.42,494.0
628084,1588126181,15958652328578.42,929.0
628085,1588126854,15958652328578.42,673.0
628086,1588127868,15958652328578.42,1014.0
628087,1588128076,15958652328578.42,208.0
628088,1588128394,15958652328578.42,318.0
628089,1588129294,15958652328578.42,900.0
628090,1588130273,15958652328578.42,979.0
628091,1588131793,15958652328578.42,1520.0
628092,1588133867,15958652328578.42,2074.0
628093,1588135237,15958652328578.42,1370.0
628094,1588135283,15958652328578.42,46.0
628095,1588135660,15958652328578.42,377.0
628096,1588135789,15958652328578.42,129.0
628097,1588136139,15958652328578.42,350.0
628098,1588136166,15958652328578.42,27.0
628099,1588136593,15958652328578.42,427.0
628100,1588136933,15958652328578.42,340.0
628101,1588137302,15958652328578.42,369.0
628102,1588137318,15958652328578.42,16.0
628103,1588138181,15958652328578.42,863.0
628104,1588138695,15958652328578.42,514.0
628105,1588139645,15958652328578.42,950.0
628106,1588139871,15958652328578.42,226.0
628107,1588140861,15958652328578.42,990.0
628108,1588141522,15958652328578.42,661.0
628109,1588142066,15958652328578.42,544.0
628110,1588143036,15958652328578.42,970.0
628111,1588145677,15958652328578.42,2641.0
628112,1588146478,15958652328578.42,801.0
628113,1588146604,15958652328578.42,126.0
628114,1588146682,15958652328578.42,78.0
628115,1588146723,15958652328578.42,41.0
628116,1588146758,15958652328578.42,35.0
628117,1588146965,15958652328578.42,207.0
628118,1588147016,15958652328578.42,51.0
628119,1588147026,15958652328578.42,10.0
628120,1588147784,15958652328578.42,758.0
628121,1588148124,15958652328578.42,340.0
628122,1588148366,15958652328578.42,242.0
628123,1588148388,15958652328578.42,22.0
